num_robot_dir;num_exp_file;reachingTargetTime
100;0;687654
100;0;13633
100;0;0
100;0;657427
100;0;30227
100;0;13187
100;0;446
100;0;0
100;1;786569
100;1;15070
100;1;0
100;1;755750
100;1;30819
100;1;14508
100;1;562
100;1;0
100;10;629488
100;10;12426
100;10;0
100;10;598917
100;10;30571
100;10;11967
100;10;459
100;10;0
100;11;660281
100;11;13232
100;11;0
100;11;629893
100;11;30388
100;11;12817
100;11;415
100;11;0
100;12;640637
100;12;12547
100;12;0
100;12;610119
100;12;30518
100;12;12079
100;12;468
100;12;0
100;13;678608
100;13;12830
100;13;0
100;13;647941
100;13;30667
100;13;12332
100;13;498
100;13;0
100;14;691357
100;14;13189
100;14;0
100;14;660113
100;14;31244
100;14;12749
100;14;440
100;14;0
100;15;615621
100;15;12941
100;15;0
100;15;584632
100;15;30989
100;15;12454
100;15;487
100;15;0
100;16;647464
100;16;12902
100;16;0
100;16;616824
100;16;30640
100;16;12429
100;16;473
100;16;0
100;17;664320
100;17;12665
100;17;0
100;17;633594
100;17;30726
100;17;12236
100;17;429
100;17;0
100;18;596624
100;18;11813
100;18;0
100;18;565962
100;18;30662
100;18;11340
100;18;473
100;18;0
100;19;681295
100;19;12819
100;19;0
100;19;651110
100;19;30185
100;19;12413
100;19;406
100;19;0
100;2;725602
100;2;13519
100;2;0
100;2;694920
100;2;30682
100;2;13081
100;2;438
100;2;0
100;20;656944
100;20;13045
100;20;0
100;20;626609
100;20;30335
100;20;12633
100;20;412
100;20;0
100;21;636384
100;21;12582
100;21;0
100;21;605936
100;21;30448
100;21;12100
100;21;482
100;21;0
100;22;656709
100;22;13109
100;22;0
100;22;625941
100;22;30768
100;22;12635
100;22;474
100;22;0
100;23;697076
100;23;14538
100;23;0
100;23;666311
100;23;30765
100;23;14014
100;23;524
100;23;0
100;24;548146
100;24;11165
100;24;0
100;24;518077
100;24;30069
100;24;10704
100;24;461
100;24;0
100;25;658293
100;25;12301
100;25;0
100;25;627027
100;25;31266
100;25;11864
100;25;437
100;25;0
100;26;614808
100;26;12084
100;26;0
100;26;584364
100;26;30444
100;26;11644
100;26;440
100;26;0
100;27;647616
100;27;13061
100;27;0
100;27;617141
100;27;30475
100;27;12597
100;27;464
100;27;0
100;28;697032
100;28;13944
100;28;0
100;28;665964
100;28;31068
100;28;13481
100;28;463
100;28;0
100;29;620751
100;29;12697
100;29;0
100;29;590188
100;29;30563
100;29;12272
100;29;425
100;29;0
100;3;644833
100;3;12525
100;3;0
100;3;614353
100;3;30480
100;3;12085
100;3;440
100;3;0
100;30;810398
100;30;15126
100;30;0
100;30;779530
100;30;30868
100;30;14692
100;30;434
100;30;0
100;31;667640
100;31;13261
100;31;0
100;31;636883
100;31;30757
100;31;12792
100;31;469
100;31;0
100;32;747167
100;32;14282
100;32;0
100;32;716286
100;32;30881
100;32;13812
100;32;470
100;32;0
100;33;727046
100;33;14520
100;33;0
100;33;696855
100;33;30191
100;33;14097
100;33;423
100;33;0
100;34;692560
100;34;13068
100;34;0
100;34;662043
100;34;30517
100;34;12631
100;34;437
100;34;0
100;35;692768
100;35;13479
100;35;0
100;35;662254
100;35;30514
100;35;13011
100;35;468
100;35;0
100;36;652546
100;36;12957
100;36;0
100;36;621079
100;36;31467
100;36;12436
100;36;521
100;36;0
100;37;721762
100;37;14126
100;37;0
100;37;691367
100;37;30395
100;37;13721
100;37;405
100;37;0
100;38;657054
100;38;13314
100;38;0
100;38;626645
100;38;30409
100;38;12892
100;38;422
100;38;0
100;39;611086
100;39;11909
100;39;0
100;39;580682
100;39;30404
100;39;11459
100;39;450
100;39;0
100;4;734539
100;4;14047
100;4;0
100;4;703810
100;4;30729
100;4;13575
100;4;472
100;4;0
100;5;671724
100;5;12913
100;5;0
100;5;641436
100;5;30288
100;5;12413
100;5;500
100;5;0
100;6;671027
100;6;12993
100;6;0
100;6;640562
100;6;30465
100;6;12549
100;6;444
100;6;0
100;7;651127
100;7;13179
100;7;0
100;7;620567
100;7;30560
100;7;12697
100;7;482
100;7;0
100;8;614493
100;8;11951
100;8;0
100;8;584417
100;8;30076
100;8;11509
100;8;442
100;8;0
100;9;708887
100;9;14070
100;9;0
100;9;678250
100;9;30637
100;9;13618
100;9;452
100;9;0
120;0;869774
120;0;14360
120;0;0
120;0;830085
120;0;39689
120;0;13903
120;0;457
120;0;0
120;1;1005523
120;1;15836
120;1;0
120;1;965464
120;1;40059
120;1;15325
120;1;511
120;1;0
120;10;919146
120;10;15454
120;10;0
120;10;878933
120;10;40213
120;10;15008
120;10;446
120;10;0
120;11;876438
120;11;14984
120;11;0
120;11;836701
120;11;39737
120;11;14480
120;11;504
120;11;0
120;12;1022412
120;12;16047
120;12;0
120;12;982659
120;12;39753
120;12;15589
120;12;458
120;12;0
120;13;999203
120;13;16491
120;13;0
120;13;959515
120;13;39688
120;13;15985
120;13;506
120;13;0
120;14;872837
120;14;14653
120;14;0
120;14;832936
120;14;39901
120;14;14142
120;14;511
120;14;0
120;15;887478
120;15;14562
120;15;0
120;15;846975
120;15;40503
120;15;14113
120;15;449
120;15;0
120;16;1012513
120;16;16825
120;16;0
120;16;972412
120;16;40101
120;16;16374
120;16;451
120;16;0
120;17;954810
120;17;15830
120;17;0
120;17;914805
120;17;40005
120;17;15240
120;17;590
120;17;0
120;18;905620
120;18;14502
120;18;0
120;18;865356
120;18;40264
120;18;13966
120;18;536
120;18;0
120;19;935244
120;19;15964
120;19;0
120;19;894249
120;19;40995
120;19;15465
120;19;499
120;19;0
120;2;850648
120;2;14014
120;2;0
120;2;810714
120;2;39934
120;2;13492
120;2;522
120;2;0
120;20;1130501
120;20;17464
120;20;0
120;20;1089590
120;20;40911
120;20;16878
120;20;586
120;20;0
120;21;1009218
120;21;15932
120;21;0
120;21;969090
120;21;40128
120;21;15385
120;21;547
120;21;0
120;22;944529
120;22;15664
120;22;0
120;22;903823
120;22;40706
120;22;15199
120;22;465
120;22;0
120;23;911293
120;23;14954
120;23;0
120;23;871775
120;23;39518
120;23;14491
120;23;463
120;23;0
120;24;1107337
120;24;17568
120;24;0
120;24;1067181
120;24;40156
120;24;17107
120;24;461
120;24;1
120;25;1011034
120;25;16449
120;25;0
120;25;970683
120;25;40351
120;25;15917
120;25;532
120;25;0
120;26;873864
120;26;15111
120;26;0
120;26;833676
120;26;40188
120;26;14608
120;26;503
120;26;0
120;27;1138814
120;27;17416
120;27;0
120;27;1099473
120;27;39341
120;27;16951
120;27;465
120;27;0
120;28;899869
120;28;15214
120;28;0
120;28;860094
120;28;39775
120;28;14729
120;28;485
120;28;0
120;29;896200
120;29;14502
120;29;0
120;29;856093
120;29;40107
120;29;13936
120;29;566
120;29;0
120;3;864514
120;3;14480
120;3;0
120;3;824267
120;3;40247
120;3;13948
120;3;532
120;3;0
120;30;953325
120;30;15646
120;30;0
120;30;913812
120;30;39513
120;30;15156
120;30;490
120;30;0
120;31;932672
120;31;15030
120;31;0
120;31;893396
120;31;39276
120;31;14583
120;31;447
120;31;0
120;32;1032094
120;32;15949
120;32;0
120;32;992029
120;32;40065
120;32;15331
120;32;618
120;32;0
120;33;958642
120;33;15586
120;33;0
120;33;918991
120;33;39651
120;33;15118
120;33;468
120;33;0
120;34;941563
120;34;15470
120;34;0
120;34;901692
120;34;39871
120;34;14987
120;34;483
120;34;0
120;35;887886
120;35;14262
120;35;0
120;35;847708
120;35;40178
120;35;13714
120;35;548
120;35;0
120;36;901544
120;36;15740
120;36;0
120;36;861507
120;36;40037
120;36;15230
120;36;510
120;36;0
120;37;893510
120;37;14512
120;37;0
120;37;854171
120;37;39339
120;37;14059
120;37;453
120;37;0
120;38;952488
120;38;16571
120;38;0
120;38;912628
120;38;39860
120;38;16031
120;38;540
120;38;0
120;39;929382
120;39;14928
120;39;0
120;39;889677
120;39;39705
120;39;14443
120;39;485
120;39;0
120;4;940837
120;4;15361
120;4;0
120;4;900218
120;4;40619
120;4;14795
120;4;566
120;4;0
120;5;930427
120;5;16182
120;5;0
120;5;890515
120;5;39912
120;5;15641
120;5;541
120;5;0
120;6;954564
120;6;15810
120;6;0
120;6;914526
120;6;40038
120;6;15343
120;6;467
120;6;0
120;7;896153
120;7;14807
120;7;0
120;7;856722
120;7;39431
120;7;14307
120;7;500
120;7;0
120;8;884477
120;8;14724
120;8;0
120;8;844790
120;8;39687
120;8;14132
120;8;592
120;8;0
120;9;1043545
120;9;15982
120;9;0
120;9;1004033
120;9;39512
120;9;15538
120;9;444
120;9;0
140;0;1162516
140;0;17333
140;0;0
140;0;1111923
140;0;50593
140;0;16779
140;0;554
140;0;0
140;1;1271257
140;1;17679
140;1;0
140;1;1221187
140;1;50070
